# Discriminator Loss, Generator Loss
9.083501100540161133e-01,1.332165145874023438e+01
9.262716174125671387e-01,1.349149513244628906e+01
8.219546675682067871e-01,1.484555625915527344e+01
8.355717658996582031e-01,1.314353656768798828e+01
7.478075027465820312e-01,1.440384769439697266e+01
7.411266565322875977e-01,1.382382106781005859e+01
7.985352277755737305e-01,1.458657073974609375e+01
8.378328084945678711e-01,1.287308979034423828e+01
8.419526219367980957e-01,1.485416507720947266e+01
8.023182153701782227e-01,1.215226936340332031e+01
7.998932600021362305e-01,1.459047317504882812e+01
7.953040599822998047e-01,1.370740318298339844e+01
7.687623500823974609e-01,1.265254783630371094e+01
8.252455592155456543e-01,1.341543006896972656e+01
8.848613500595092773e-01,1.300285339355468750e+01
8.220106959342956543e-01,1.359663295745849609e+01
8.943969607353210449e-01,1.242760658264160156e+01
9.214278459548950195e-01,1.201001548767089844e+01
1.072578907012939453e+00,1.254175376892089844e+01
1.053742527961730957e+00,1.216820716857910156e+01
1.125521659851074219e+00,1.278341484069824219e+01
1.170364737510681152e+00,1.131744384765625000e+01
1.209909319877624512e+00,1.198469066619873047e+01
1.344592571258544922e+00,1.164371395111083984e+01
1.412172675132751465e+00,1.165827846527099609e+01
1.353818535804748535e+00,1.161131191253662109e+01
1.390268087387084961e+00,1.235106849670410156e+01
1.469563007354736328e+00,1.225885772705078125e+01
1.357554912567138672e+00,1.454819869995117188e+01
1.207406878471374512e+00,1.219448661804199219e+01
1.126882791519165039e+00,1.436735916137695312e+01
1.030051827430725098e+00,1.340572738647460938e+01
1.044351577758789062e+00,1.426444244384765625e+01
9.728094339370727539e-01,1.445316505432128906e+01
9.687404632568359375e-01,1.442984199523925781e+01
7.620009183883666992e-01,1.594452667236328125e+01
7.349858880043029785e-01,1.520823669433593750e+01
7.578513026237487793e-01,1.625190353393554688e+01
7.415460348129272461e-01,1.387900733947753906e+01
7.261977791786193848e-01,1.708758354187011719e+01
7.554212212562561035e-01,1.480904579162597656e+01
7.071198225021362305e-01,1.520493888854980469e+01
7.388288378715515137e-01,1.539224433898925781e+01
7.456868886947631836e-01,1.426754951477050781e+01
6.964108943939208984e-01,1.485273838043212891e+01
7.317388057708740234e-01,1.560437488555908203e+01
6.938803195953369141e-01,1.442054271697998047e+01
7.354612946510314941e-01,1.402968406677246094e+01
7.107622623443603516e-01,1.501877689361572266e+01
6.608253717422485352e-01,1.384121894836425781e+01
6.921734809875488281e-01,1.451539802551269531e+01
